Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
PG,Christian Heritage College,Online,Master of Business Administration,Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,yes,IELTS,,,7.5,,,https://chc.edu.au/courses/master-of-business-administration/,English,A,,"The CHC MBA equips you to be a leader who can integrate scholarly research, Biblical values, and the Christian intellectual tradition to deliver solutions in practical assessments and case studies. With your online MBA, you will have the confidence and creativity to challenge the status quo and lead ethical change. Build your skill set, strengthen your values, and start seeing the world as it could be with a renewed focus on human flourishing for the common good.",Australia,yes,no,yes,no,no,,BZ540 Purpose Driven Business,,,,,,BZ510 Financial Management,,,,,,BZ531 Economics For Managers,,,,,,BZ532 Human Resource Management,,,,,,BZ533 Corporate Governance,,,,,,BZ542 Leadership and Change,,,,,,BZ550 Marketing Management And Fundraising,,,,,,BZ551 Communication And Media Management,,,,,,BZ540 Purpose Driven Business,,,,,,BZ510 Financial Management,,,,,,BZ542 Leadership and Change,,,,,,BZ531 Economics For Managers,,,,,,BZ532 Human Resource Management,,,,,,BZ533 Corporate Governance,,,,,,BZ550 Marketing Management And Fundraising,,,,,,BZ551 Communication And Media Management,,,,,,BZ652 Project And Event Management,,,,,,BZ677 Business Planning for SMEs,,,,,,BZ540 Purpose Driven Business,,,,,,BZ510 Financial Management,,,,,
PG,Christian Heritage College,Carindale,Master of Teaching (Secondary),Science and Health Science,,,AUD,year,2,Years,yes,yes,IELTS,,,7.5,,,https://chc.edu.au/courses/master-of-teaching-secondary/,English,A,"The Master of Teaching (Secondary) course provides foundational understandings of the Secondary school contexts (Year 7 – Year 12) in state, Catholic and independent schools, with a particular emphasis on teaching from a Christian perspective. The course equips students with effective teaching and learning strategies to apply their knowledge, expertise and experience to engage the adolescent learner. Students are equipped to integrate Christian worldview perspectives into their teaching. The maximum time allowed for the completion of the Master of Teaching (Secondary) is eight years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete 8 units of the Master of Teaching (Secondary) but are unable to complete the remainder of the course may exit with the Graduate Diploma in Teaching Studies. The Graduate Diploma in Teaching Studies does not satisfy the requirements for registration with the Queensland College of Teachers.","Teacher- Secondary (7-12), Learning support teacher, Educational trainer/presenter, Curriculum writer, Youth services worker.",Australia,yes,yes,yes,yes,no,,CE501 Biblical Worldview and Education ,,,,,,CE512 PEP 1 Philosophy of Teaching for Learning,,,,,,CU502 Literacy and Numeracy across the Curriculum,,,,,,CU602 Digital Literacies,,,,,,CU650 Educating Young Adolescents in Junior Secondary (7-10),,,,,,CU651 Educating Young Adolescents in Senior Secondary (11-12),,,,,,ES502 The Nature of the Learner,,,,,,"ES523 PEP 2 Curriculum, Assessment and Reporting",,,,,,CU53* Curriculum and Pedagogy 1: Teaching Area 1 (see suite below),,,,,,CU54* Curriculum and Pedagogy 1: Teaching Area 2 (see suite below),,,,,,CU63* Curriculum and Pedagogy 2: Teaching Area 1 (see suite below),,,,,,CU64* Curriculum and Pedagogy 2: Teaching Area 2 (see suite below),,,,,,ES602 Teacher as Researcher (Secondary Teaching Area),,,,,,ES612 PEP 3 Differentiations for Safe and Supportive Classrooms,,,,,,ES521 Australian Indigenous Contexts and Education,,,,,,CU661 PEP 4 The Professional Teacher,,,,,,CU530 Curriculum and Pedagogy: English 1,,,,,,CU531 Curriculum and Pedagogy: Sciences 1,,,,,,CU532 Curriculum and Pedagogy: Business 1,,,,,,CU533 Curriculum and Pedagogy: Religious Education 1,,,,,
PG,Christian Heritage College,Online,Master of Teaching (Secondary),Science and Health Science,,,AUD,year,2,Years,yes,yes,IELTS,,,7.5,,,https://chc.edu.au/courses/master-of-teaching-secondary/,English,A,"The Master of Teaching (Secondary) course provides foundational understandings of the Secondary school contexts (Year 7 – Year 12) in state, Catholic and independent schools, with a particular emphasis on teaching from a Christian perspective. The course equips students with effective teaching and learning strategies to apply their knowledge, expertise and experience to engage the adolescent learner. Students are equipped to integrate Christian worldview perspectives into their teaching. The maximum time allowed for the completion of the Master of Teaching (Secondary) is eight years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete 8 units of the Master of Teaching (Secondary) but are unable to complete the remainder of the course may exit with the Graduate Diploma in Teaching Studies. The Graduate Diploma in Teaching Studies does not satisfy the requirements for registration with the Queensland College of Teachers.","Teacher- Secondary (7-12), Learning support teacher, Educational trainer/presenter, Curriculum writer, Youth services worker.",Australia,yes,yes,yes,yes,no,,CE501 Biblical Worldview and Education ,,,,,,CE512 PEP 1 Philosophy of Teaching for Learning,,,,,,CU502 Literacy and Numeracy across the Curriculum,,,,,,CU602 Digital Literacies,,,,,,CU650 Educating Young Adolescents in Junior Secondary (7-10),,,,,,CU651 Educating Young Adolescents in Senior Secondary (11-12),,,,,,ES502 The Nature of the Learner,,,,,,"ES523 PEP 2 Curriculum, Assessment and Reporting",,,,,,CU53* Curriculum and Pedagogy 1: Teaching Area 1 (see suite below),,,,,,CU54* Curriculum and Pedagogy 1: Teaching Area 2 (see suite below),,,,,,CU63* Curriculum and Pedagogy 2: Teaching Area 1 (see suite below),,,,,,CU64* Curriculum and Pedagogy 2: Teaching Area 2 (see suite below),,,,,,ES602 Teacher as Researcher (Secondary Teaching Area),,,,,,ES612 PEP 3 Differentiations for Safe and Supportive Classrooms,,,,,,ES521 Australian Indigenous Contexts and Education,,,,,,CU661 PEP 4 The Professional Teacher,,,,,,CU530 Curriculum and Pedagogy: English 1,,,,,,CU531 Curriculum and Pedagogy: Sciences 1,,,,,,CU532 Curriculum and Pedagogy: Business 1,,,,,,CU533 Curriculum and Pedagogy: Religious Education 1,,,,,
PG,Christian Heritage College,Carindale,Master of Teaching (Primary),Science and Health Science,,,AUD,year,2,Years,yes,yes,IELTS,,,7.5,,,https://chc.edu.au/courses/master-of-teaching-primary/,English,A,"The course provides students with an understanding of the primary school sector, focusing on skills and abilities in literacy, numeracy, and current curriculum content. Students are equipped with an understanding of diversity and differentiated learning strategies that foster learning for all children. Students are able to undertake a primary specialisation in either English or Mathematics. The course also develops the skills and abilities required by teachers working with information and communication technologies, which is integrated throughout each unit. The maximum time allowed for the completion of the Master of Teaching (Primary) is eight years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete 8 units of the Master of Teaching (Primary) but are unable to complete the remainder of the course may exit with the Graduate Diploma in Teaching Studies. The Graduate Diploma in Teaching Studies does not satisfy the requirements for registration with the Queensland College of Teachers.","Teacher- Primary (P-6), Learning support teacher, Educational trainer/presenter, Curriculum writer.",Australia,yes,yes,yes,yes,no,,CE501 Biblical Worldview and Education,,,,,,CE511 PEP 1 Philosophy of Teaching for Learning,,,,,,CU520 Primary Mathematics 1,,,,,,CU521 Primary English 1,,,,,,CU522 Primary Science,,,,,,CU620 Primary Mathematics 2 and Numeracy across the Curriculum,,,,,,CU621 Primary English 2 and Literacy across the Curriculum,,,,,,CU623 Primary Humanities and Social Sciences,,,,,,CU624 Primary The Arts and Technology,,,,,,CU625 Primary Health and Physical Education,,,,,,CU661 PEP 4 The Professional Teacher,,,,,,ES501 The Nature of the Learner,,,,,,ES521 Australian Indigenous Contexts and Education,,,,,,"ES522 PEP2 Curriculum, Assessment and Reporting",,,,,,ES601 Teacher as Researcher (Primary Specialisation),,,,,,ES611 PEP3 Differentiation for Safe and Supportive Classrooms,,,,,,CU530 Curriculum and Pedagogy: English 1,,,,,,CU531 Curriculum and Pedagogy: Sciences 1,,,,,,CU532 Curriculum and Pedagogy: Business 1,,,,,,CU533 Curriculum and Pedagogy: Religious Education 1,,,,,
PG,Christian Heritage College,Online,Master of Teaching (Primary),Science and Health Science,,,AUD,year,2,Years,yes,yes,IELTS,,,7.5,,,https://chc.edu.au/courses/master-of-teaching-primary/,English,A,"The course provides students with an understanding of the primary school sector, focusing on skills and abilities in literacy, numeracy, and current curriculum content. Students are equipped with an understanding of diversity and differentiated learning strategies that foster learning for all children. Students are able to undertake a primary specialisation in either English or Mathematics. The course also develops the skills and abilities required by teachers working with information and communication technologies, which is integrated throughout each unit. The maximum time allowed for the completion of the Master of Teaching (Primary) is eight years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete 8 units of the Master of Teaching (Primary) but are unable to complete the remainder of the course may exit with the Graduate Diploma in Teaching Studies. The Graduate Diploma in Teaching Studies does not satisfy the requirements for registration with the Queensland College of Teachers.","Teacher- Primary (P-6), Learning support teacher, Educational trainer/presenter, Curriculum writer.",Australia,yes,yes,yes,yes,no,,CE501 Biblical Worldview and Education,,,,,,CE511 PEP 1 Philosophy of Teaching for Learning,,,,,,CU520 Primary Mathematics 1,,,,,,CU521 Primary English 1,,,,,,CU522 Primary Science,,,,,,CU620 Primary Mathematics 2 and Numeracy across the Curriculum,,,,,,CU621 Primary English 2 and Literacy across the Curriculum,,,,,,CU623 Primary Humanities and Social Sciences,,,,,,CU624 Primary The Arts and Technology,,,,,,CU625 Primary Health and Physical Education,,,,,,CU661 PEP 4 The Professional Teacher,,,,,,ES501 The Nature of the Learner,,,,,,ES521 Australian Indigenous Contexts and Education,,,,,,"ES522 PEP2 Curriculum, Assessment and Reporting",,,,,,ES601 Teacher as Researcher (Primary Specialisation),,,,,,ES611 PEP3 Differentiation for Safe and Supportive Classrooms,,,,,,CU530 Curriculum and Pedagogy: English 1,,,,,,CU531 Curriculum and Pedagogy: Sciences 1,,,,,,CU532 Curriculum and Pedagogy: Business 1,,,,,,CU533 Curriculum and Pedagogy: Religious Education 1,,,,,
PG,Christian Heritage College,Carindale,Master of Counselling,Humanities and Social Science,,,AUD,year,2,Years,yes,yes,IELTS,,,7.5,,,https://chc.edu.au/courses/master-of-counselling/,English,A,"Skills are developed alongside critically reflective practice that is applied to substantial real-world counselling experience in the master of counselling course. Students in the Master of Counselling course are exposed to a range of theories and encouraged to develop a holistic approach to counselling based on the understanding that the human person is an integrated being and that no one approach to counselling has all the answers or is the right approach for every client. In the master of counselling course, you will develop an intentionally integrated understanding of the human person, the basis of human difficulties, and processes of change, growth and healing. During the master of counselling course, you will learn to implement a process that holds the potential to mobilise change for clients. Built on trauma-informed principles, this process-based approach of the master of counselling course then becomes the basis of theoretical integration. There is a strong emphasis on developing the personality of the counsellor. This includes valuing the well-being of the counsellor. CHC’s master of counselling course is designed to equip student counsellors with the knowledge, skills and experience necessary to work ethically, sensitively, inclusively and respectfully with clients from diverse backgrounds As a ‘first training’ course, the Master of Counselling is not available to students who already hold a PACFA-accredited qualification, such as a Bachelor of Counselling. Successful engagement in the Counselling profession requires a level of personal maturity and self-awareness. PACFA (Psychotherapy and Counselling Federation of Australia) therefore recommends that current and prospective Masters in counselling students are assessed for their personal growth and likely suitability for the Counselling profession. Entry to the Master of Counselling is thus subject not only to academic requirements but also personal suitability as assessed through an interview, a personal statement and referee reports.","Counsellor, Personal Support Worker, Pastoral Counsellor, Chaplain, School Counsellor.",Australia,no,yes,no,yes,yes,,CO510 The Person of the Practitioner,,,,,,CO513 Towards an Understanding of Mental Health,,,,,,CO514 Foundational Counselling Skills,,,,,,CO523 Ethics in Counselling,,,,,,CO557 Theories of Counselling,,,,,,CO610 Towards a Christian Worldview for Counselling,,,,,,CO615 Processes and Strategies in Counselling,,,,,,CO667 Reflective Practice: Consolidating Foundations,,,,,,CO668 Reflective Practice: The Therapeutic Relationship,,,,,,CO669 Reflective Practice: External Contexts,,,,,,CO670 Reflective Practice: Personal Practice Framework,,,,,,SO653 Research Methods,,,,,,SO661 Group Processes,,,,,,CA540 Child and Adolescent Counselling: Theoretical Foundations,,,,,,CA541 Child and Adolescent Counselling: Intervention Frameworks,,,,,,CA542 Child and Adolescent Counselling: Intervention Strategies,,,,,,TR540 Trauma Counselling: Theoretical Foundations,,,,,,TR541 Trauma Counselling: Intervention Frameworks,,,,,,TR542 Trauma Counselling: Intervention Strategies,,,,,,FR540 Family and Relationship Counselling: Theoretical Foundations,,,,,
PG,Christian Heritage College,Online,Graduate Certificate in Management,Business & Commerce & Finance & Accounting,,,AUD,year,6,Months,no,no,IELTS,,,7.5,,,https://chc.edu.au/courses/graduate-certificate-in-management/,English,A,"The Graduate Certificate in Management will develop your capacity to pivot with purpose, to lead through uncertainty, and to manage your business or organisations through significant change. This AQF Level 8 Qualification is based on contemporary scholarly research, Biblical values, and the Christian intellectual tradition. Each unit of the four-units within the Graduate Certificate aims to develop your knowledge, skills, and worldview to lead and manage in difficult times. The CHC Graduate Certificate in Management is delivered via a concentrated model, where students undertake one unit per study period of six weeks. Students who enrol in subsequent study periods will complete the Graduate Certificate in Management in six months. This Graduate Certificate is your pathway to further studies as part of the CHC Masters of Business Administration (MBA).  The CHC MBA is especially relevant to managers of profit and not-for-profit organisations who need to gain management expertise, and for people in business seeking Christian input to do ministry in their business sphere. To find out more, please email study@chc.edu.au for a brochure.",,Australia,yes,no,yes,no,no,,BZ510 Financial Management,,,,,,BZ533 Corporate Governance,,,,,,BZ540 Purpose-driven Business,,,,,,BZ542 Leadership and Change,,,,,,CO557 Theories of Counselling,,,,,,CO610 Towards a Christian Worldview for Counselling,,,,,,CO615 Processes and Strategies in Counselling,,,,,,CO667 Reflective Practice: Consolidating Foundations,,,,,,CO668 Reflective Practice: The Therapeutic Relationship,,,,,,CO669 Reflective Practice: External Contexts,,,,,,CO670 Reflective Practice: Personal Practice Framework,,,,,,SO653 Research Methods,,,,,,SO661 Group Processes,,,,,,CA540 Child and Adolescent Counselling: Theoretical Foundations,,,,,,CA541 Child and Adolescent Counselling: Intervention Frameworks,,,,,,CA542 Child and Adolescent Counselling: Intervention Strategies,,,,,,TR540 Trauma Counselling: Theoretical Foundations,,,,,,TR541 Trauma Counselling: Intervention Frameworks,,,,,,TR542 Trauma Counselling: Intervention Strategies,,,,,,FR540 Family and Relationship Counselling: Theoretical Foundations,,,,,
PG,Christian Heritage College,Carindale,Graduate Certificate in Social Science Leadership,Humanities and Social Science,,,AUD,year,1,Year,no,no,IELTS,,,7.5,,,https://chc.edu.au/courses/graduate-certificate-in-social-science-leadership/,English,A,"The Graduate Certificate in Social Science Leadership is designed to facilitate the acquisition of advanced knowledge and skills related to a specific field of social sciences practice, as well as critical thinking and reflection, and incorporates a strong leadership focus with a theoretical understanding of contextual social sciences engagement and Christian worldview integration. The course is therefore intended for those who already possess a foundational understanding of the social sciences or are interested in up-skilling as they are promoted into leadership positions within the social sciences. Students will be able to undertake focussed study in a specific social sciences discipline that address four key areas: Students will focus on leadership within the social sciences discipline by engaging in learning in core approaches and frameworks that are to be contextually applied via focussed assessment. In addition, the Graduate Certificate in Social Science Leadership is designed to provide opportunity to focus on, evaluate and critically integrate knowledge and skills from the perspective of a Christian worldview. As a faith-based higher education provider, CHC aims to provide quality educational experiences for professionals in order that they may contribute meaningfully to their professions in applied social science areas, and to society more generally, in ways that authentically reflect values and tenets of the Christian faith. Students who successfully complete the Graduate Certificate in Social Science Leadership may articulate into the Master of Social Science Leadership (SS54). Students who are enrolled in the Master of Social Science Leadership may exit with the Graduate Certificate in Social Science Leadership (subject to the completion of course rules).",,Australia,yes,yes,yes,yes,no,,SO540 - Leadership Theory,,,,,,SO541 - Leadership Practice,,,,,,SO542 - Leading and Facilitating Strategic Change,,,,,,SO663 - Leading Reflective Practice,,,,,,CO557 Theories of Counselling,,,,,,CO610 Towards a Christian Worldview for Counselling,,,,,,CO615 Processes and Strategies in Counselling,,,,,,CO667 Reflective Practice: Consolidating Foundations,,,,,,CO668 Reflective Practice: The Therapeutic Relationship,,,,,,CO669 Reflective Practice: External Contexts,,,,,,CO670 Reflective Practice: Personal Practice Framework,,,,,,SO653 Research Methods,,,,,,SO661 Group Processes,,,,,,CA540 Child and Adolescent Counselling: Theoretical Foundations,,,,,,CA541 Child and Adolescent Counselling: Intervention Frameworks,,,,,,CA542 Child and Adolescent Counselling: Intervention Strategies,,,,,,TR540 Trauma Counselling: Theoretical Foundations,,,,,,TR541 Trauma Counselling: Intervention Frameworks,,,,,,TR542 Trauma Counselling: Intervention Strategies,,,,,,FR540 Family and Relationship Counselling: Theoretical Foundations,,,,,
PG,Christian Heritage College,Online,Graduate Certificate in Social Science Leadership,Humanities and Social Science,,,AUD,year,1,Year,no,no,IELTS,,,7.5,,,https://chc.edu.au/courses/graduate-certificate-in-social-science-leadership/,English,A,"The Graduate Certificate in Social Science Leadership is designed to facilitate the acquisition of advanced knowledge and skills related to a specific field of social sciences practice, as well as critical thinking and reflection, and incorporates a strong leadership focus with a theoretical understanding of contextual social sciences engagement and Christian worldview integration. The course is therefore intended for those who already possess a foundational understanding of the social sciences or are interested in up-skilling as they are promoted into leadership positions within the social sciences. Students will be able to undertake focussed study in a specific social sciences discipline that address four key areas: Students will focus on leadership within the social sciences discipline by engaging in learning in core approaches and frameworks that are to be contextually applied via focussed assessment. In addition, the Graduate Certificate in Social Science Leadership is designed to provide opportunity to focus on, evaluate and critically integrate knowledge and skills from the perspective of a Christian worldview. As a faith-based higher education provider, CHC aims to provide quality educational experiences for professionals in order that they may contribute meaningfully to their professions in applied social science areas, and to society more generally, in ways that authentically reflect values and tenets of the Christian faith. Students who successfully complete the Graduate Certificate in Social Science Leadership may articulate into the Master of Social Science Leadership (SS54). Students who are enrolled in the Master of Social Science Leadership may exit with the Graduate Certificate in Social Science Leadership (subject to the completion of course rules).",,Australia,yes,yes,yes,yes,no,,SO540 - Leadership Theory,,,,,,SO541 - Leadership Practice,,,,,,SO542 - Leading and Facilitating Strategic Change,,,,,,SO663 - Leading Reflective Practice,,,,,,CO557 Theories of Counselling,,,,,,CO610 Towards a Christian Worldview for Counselling,,,,,,CO615 Processes and Strategies in Counselling,,,,,,CO667 Reflective Practice: Consolidating Foundations,,,,,,CO668 Reflective Practice: The Therapeutic Relationship,,,,,,CO669 Reflective Practice: External Contexts,,,,,,CO670 Reflective Practice: Personal Practice Framework,,,,,,SO653 Research Methods,,,,,,SO661 Group Processes,,,,,,CA540 Child and Adolescent Counselling: Theoretical Foundations,,,,,,CA541 Child and Adolescent Counselling: Intervention Frameworks,,,,,,CA542 Child and Adolescent Counselling: Intervention Strategies,,,,,,TR540 Trauma Counselling: Theoretical Foundations,,,,,,TR541 Trauma Counselling: Intervention Frameworks,,,,,,TR542 Trauma Counselling: Intervention Strategies,,,,,,FR540 Family and Relationship Counselling: Theoretical Foundations,,,,,
PG,Christian Heritage College,Carindale,Master of Social Science Leadership,Humanities and Social Science,,,AUD,year,18,Months,no,no,IELTS,,,7.5,,,https://chc.edu.au/courses/master-of-social-science-leadership/,English,A,"The Master of Social Science Leadership is designed to facilitate the acquisition of advanced knowledge and skills related to a specific field of social sciences practice, as well as critical thinking and reflection, and incorporates a strong leadership focus with a theoretical understanding of contextual social sciences engagement and Christian worldview integration. The course is therefore intended for those who already possess a foundational understanding of the social sciences or are interested in up-skilling as they are promoted into leadership positions within the social sciences. Students will be able to undertake focussed study in a specific social sciences discipline that address four key areas: Students will focus on leadership within the social sciences discipline by engaging in learning in core approaches and frameworks that are to be contextually applied via focussed assessment. In addition, the Master in Social Science Leadership is designed to provide opportunity to focus on, evaluate and critically integrate knowledge and skills from the perspective of a Christian worldview. As a faith-based higher education provider, CHC aims to provide quality educational experiences for professionals in order that they may contribute meaningfully to their professions in applied social science areas, and to society more generally, in ways that authentically reflect values and tenets of the Christian faith. Students who successfully complete the Graduate Certificate in Social Science Leadership may articulate into the Master of Social Science Leadership (SS54). Students who are enrolled in the Master of Social Science Leadership may exit with the Graduate Certificate in Social Science Leadership (subject to the completion of course rules).",,Australia,yes,yes,yes,yes,no,,SO540 Leadership Theory,,,,,,SO541 Leadership Practice,,,,,,SO542 Leading and Facilitating Strategic Change,,,,,,SO650 Leading Relational Dynamics,,,,,,SO651 Transformative Social Engagement and Christian Worldview,,,,,,SO653 Research Methods,,,,,,SO662 Group Facilitation,,,,,,SO663 Leading Reflective Practice,,,,,,SO693 Research Proposal,,,,,,SO694 Leadership Thesis (30 credit points),,,,,,CO670 Reflective Practice: Personal Practice Framework,,,,,,SO653 Research Methods,,,,,,SO661 Group Processes,,,,,,CA540 Child and Adolescent Counselling: Theoretical Foundations,,,,,,CA541 Child and Adolescent Counselling: Intervention Frameworks,,,,,,CA542 Child and Adolescent Counselling: Intervention Strategies,,,,,,TR540 Trauma Counselling: Theoretical Foundations,,,,,,TR541 Trauma Counselling: Intervention Frameworks,,,,,,TR542 Trauma Counselling: Intervention Strategies,,,,,,FR540 Family and Relationship Counselling: Theoretical Foundations,,,,,
