Subject_Objective_11,Subject_or_Unit_19,Subject_Description_31,Subject_Description_36,Subject_or_Unit_39,Subject_Objective_37,Subject_or_Unit_12,Subject_Description_25,Subject_Objective_17,Subject_or_Unit_28,Subject_Objective_22,Subject_or_Unit_36,Subject_or_Unit_27,Subject_or_Unit_35,Subject_Objective_28,Subject_Objective_12,Course,Subject_Description_33,Subject_Description_11,Subject_Objective_34,Subject_Description_26,Subject_Description_38,Subject_Description_14,Subject_Objective_31,Subject_Description_18,Subject_Objective_39,Subject_Description_20,Subject_or_Unit_3,Subject_Description_29,Prerequisite_3_grade,Subject_or_Unit_15,Subject_Description_12,Subject_Objective_18,Subject_Objective_3,Subject_Objective_25,Subject_Objective_27,Course_Lang,Duration,Website,Subject_Description_6,Subject_Description_28,Subject_or_Unit_11,University,Offline,Subject_Objective_10,Career_Outcomes,Subject_or_Unit_5,Subject_Objective_30,Currency_Time,Subject_Objective_14,Subject_Objective_32,Subject_Objective_6,Subject_Description_24,Subject_or_Unit_34,Subject_Description_7,Subject_Description_10,Subject_Objective_35,Face_to_Face,Subject_or_Unit_22,Subject_Description_16,Subject_or_Unit_20,Subject_Objective_9,Subject_Description_3,Subject_Objective_40,Subject_Description_23,Subject_Description_34,Subject_Objective_24,Subject_Objective_21,Currency,Subject_or_Unit_2,Subject_Description_27,Level_Code,Local_Fees,Subject_or_Unit_21,Country,Subject_or_Unit_38,Subject_Objective_5,Subject_Description_21,Subject_or_Unit_32,Subject_Objective_36,Subject_Description_40,Subject_Description_19,Subject_or_Unit_4,Subject_or_Unit_7,City,Subject_or_Unit_18,Subject_or_Unit_40,Subject_or_Unit_23,Duration_Time,Subject_Objective_4,Subject_or_Unit_8,Subject_or_Unit_17,Subject_Description_39,Online,Description,Subject_Description_8,Blended,Subject_Objective_29,Prerequisite_1,Subject_Objective_38,Remarks,Subject_Objective_2,Subject_Objective_7,Subject_Objective_33,Subject_Description_1,Subject_or_Unit_26,Subject_Objective_26,Subject_or_Unit_33,Subject_Description_17,Subject_Objective_23,Subject_Description_32,Prerequisite_2_grade,Distance,Availability,Subject_Description_30,Subject_Objective_13,Subject_or_Unit_31,Prerequisite_1_grade,Int_Fees,Subject_or_Unit_14,Subject_or_Unit_25,Subject_or_Unit_13,Subject_or_Unit_29,Prerequisite_2,Subject_Description_15,Subject_Description_22,Subject_Description_2,Subject_Description_9,Subject_Objective_15,Subject_or_Unit_1,Faculty,Subject_Description_37,Part_Time,Full_Time,Subject_Description_4,Subject_Objective_16,Subject_Objective_8,Subject_or_Unit_6,Subject_Description_5,Subject_or_Unit_30,Subject_or_Unit_24,Subject_Objective_20,Subject_Objective_19,Prerequisite_3,Subject_Description_35,Subject_or_Unit_37,Subject_or_Unit_9,Subject_Description_13,Subject_or_Unit_16,Subject_or_Unit_10
,ES480 Worldview And Sociology For Teachers,,,CR111 Introduction To Cross-Curricular Literacies,,,,,,,,PE446 Teaching For Transformation: Meeting Learner Needs (7-12),Insert CR415 Curriculum and Pedagogy 2: Teaching Area 1,,,Bachelor of Arts/Bachelor of Education (Secondary),,,,,,,,,,,CS216 Christian Foundations for Work and Vocation II,,,ES360 Studies In Inclusive Philosophy And Practice,,,,,,English,4,https://chc.edu.au/courses/bachelor-of-arts-bachelor-of-education-secondary/,,,ES261 Australian Indigenous Contexts and Education,Christian Heritage College,yes,,Teacher – Secondary Years (Years 7-12) in the nominated teaching areas.,ES116 Educational Psychology: Learning And Development (7-12),,year,,,,,,,,,yes,,,,,,,,,,,AUD,,,BA,,PE216 Learning About Teaching: Planning For Learning (7-12),Australia,,,,,,,,,ES126 Introduction To Teaching And Learning (7-12),Carindale,,,PE326 Teaching For Learning: Motivating And Managing Learner (7-12),Years,,,ES470 The Professional Teacher,,yes,"The course provides initial teacher education for people who wish to work in secondary years (Years 7-12) school classroom settings, with a Humanities focus. It contains four strands: Christian Studies, Education Studies, Discipline Studies (including Discipline Content and Curriculum and Pedagogy) and Professional Experiences. Students in the course complete a major of 8 units in a Humanities field and a minor of 4 units in a second area. The maximum time allowed for the completion of the Bachelor of Arts/Bachelor of Education (Secondary) is 10 years. Extensions beyond this time may be approved where extenuating circumstances exist. Course admission information, including the OP/selection rank, and student profile for the Bachelor of Arts/Bachelor of Education (Secondary) can be found here.",,no,,year 12,,,,,,,,,Insert CR316 Curriculum and Pedagogy 1: Teaching Area 2,,,,7.5,yes,A,,,Insert CR315 Curriculum and Pedagogy 1: Teaching Area 1,68,,,PE336 Teaching For Learning: Curriculum And Planning (7-12),"ES358 Learning Communities: Schools, Students and Families (7-12)",PE450 Internship: Teaching For Transformation,IELTS,,,,,,CS116 Christian Foundations for Work and Vocation I,Creative Arts & Design & Music,,yes,yes,,,,,,,,,,,,Insert CR416 Curriculum and Pedagogy 2: Teaching Area 2,"ES246 Curriculum, Assessment And Reporting (7-12)",,,
,ES480 Worldview And Sociology For Teachers,,,CR111 Introduction To Cross-Curricular Literacies,,,,,,,,PE446 Teaching For Transformation: Meeting Learner Needs (7-12),Insert CR415 Curriculum and Pedagogy 2: Teaching Area 1,,,Bachelor of Arts/Bachelor of Education (Secondary),,,,,,,,,,,CS216 Christian Foundations for Work and Vocation II,,,ES360 Studies In Inclusive Philosophy And Practice,,,,,,English,4,https://chc.edu.au/courses/bachelor-of-arts-bachelor-of-education-secondary/,,,ES261 Australian Indigenous Contexts and Education,Christian Heritage College,yes,,Teacher – Secondary Years (Years 7-12) in the nominated teaching areas.,ES116 Educational Psychology: Learning And Development (7-12),,year,,,,,,,,,yes,,,,,,,,,,,AUD,,,BA,,PE216 Learning About Teaching: Planning For Learning (7-12),Australia,,,,,,,,,ES126 Introduction To Teaching And Learning (7-12),Online,,,PE326 Teaching For Learning: Motivating And Managing Learner (7-12),Years,,,ES470 The Professional Teacher,,yes,"The course provides initial teacher education for people who wish to work in secondary years (Years 7-12) school classroom settings, with a Humanities focus. It contains four strands: Christian Studies, Education Studies, Discipline Studies (including Discipline Content and Curriculum and Pedagogy) and Professional Experiences. Students in the course complete a major of 8 units in a Humanities field and a minor of 4 units in a second area. The maximum time allowed for the completion of the Bachelor of Arts/Bachelor of Education (Secondary) is 10 years. Extensions beyond this time may be approved where extenuating circumstances exist. Course admission information, including the OP/selection rank, and student profile for the Bachelor of Arts/Bachelor of Education (Secondary) can be found here.",,no,,year 12,,,,,,,,,Insert CR316 Curriculum and Pedagogy 1: Teaching Area 2,,,,7.5,yes,A,,,Insert CR315 Curriculum and Pedagogy 1: Teaching Area 1,68,,,PE336 Teaching For Learning: Curriculum And Planning (7-12),"ES358 Learning Communities: Schools, Students and Families (7-12)",PE450 Internship: Teaching For Transformation,IELTS,,,,,,CS116 Christian Foundations for Work and Vocation I,Creative Arts & Design & Music,,yes,yes,,,,,,,,,,,,Insert CR416 Curriculum and Pedagogy 2: Teaching Area 2,"ES246 Curriculum, Assessment And Reporting (7-12)",,,
,ES480 Worldview And Sociology For Teachers,,,CR111 Introduction To Cross-Curricular Literacies,,,,,,,,PE446 Teaching For Transformation: Meeting Learner Needs (7-12),Insert CR415 Curriculum and Pedagogy 2: Teaching Area 1,,,Diploma of Social Science,,,,,,,,,,,CS216 Christian Foundations for Work and Vocation II,,,SO116 Introduction to Human Services Contexts,,,,,,English,1,https://chc.edu.au/courses/diploma-of-social-science/,,,SO112 Introduction to Human Behaviour,Christian Heritage College,yes,,"Community Worker, Pastoral Carer, Rehabilitation Worker, Youth Worker, Personal Support Worker.",SO100 Academic and Professional Communication,,year,,,,,,,,,yes,,,,,,,,,,,AUD,,,DIP,,PE216 Learning About Teaching: Planning For Learning (7-12),Australia,,,,,,,,,SO102 Introduction to Applied Social Theories,Carindale,,,PE326 Teaching For Learning: Motivating And Managing Learner (7-12),Year,,,ES470 The Professional Teacher,,no,"The Diploma of Social Science is designed to provide students with practical and theoretical knowledge and concepts with some depth relating to applied social sciences discipline areas. It emphasises theoretical understanding(s) of diverse groups of human beings, the issues they face in contemporary society, and an understanding of the knowledge, roles and skills required of those working in applied social sciences contexts. The course consists of the first two semesters of the Bachelor of Human Services and also of the Bachelor of Counselling. Consequently, students who successfully complete the Diploma of Social Science may articulate into the Bachelor of Human Services or the Bachelor of Counselling. Students who are enrolled in the Bachelor of Human Services or the Bachelor of Counselling may exit with the Diploma of Social Science, subject to the completion of course requirements. Students should note that certain units can be completed on campus only, in either Internal or Intensive modes (as offered). Course admission information, including the OP/selection rank and student profile for the Diploma of Social Science, can be found here.",,yes,,year 12,,,,,,,,,Insert CR316 Curriculum and Pedagogy 1: Teaching Area 2,,,,7.5,no,A,,,Insert CR315 Curriculum and Pedagogy 1: Teaching Area 1,68,,,PE336 Teaching For Learning: Curriculum And Planning (7-12),SO114 Foundational Interpersonal Skills,PE450 Internship: Teaching For Transformation,IELTS,,,,,,CS116 Christian Foundations for Work and Vocation I,Humanities and Social Science,,yes,yes,,,,,,,,,,,,Insert CR416 Curriculum and Pedagogy 2: Teaching Area 2,SO110 The Person of the Practitioner,,,
,ES480 Worldview And Sociology For Teachers,,,CR111 Introduction To Cross-Curricular Literacies,,,,,,,,PE446 Teaching For Transformation: Meeting Learner Needs (7-12),Insert CR415 Curriculum and Pedagogy 2: Teaching Area 1,,,Undergraduate Certificate in Literature,,,,,,,,,,,LIT102 Great Books of the Western World II,,,LIT235 Modern Literature,,,,,,English,6,https://chc.edu.au/courses/undergraduate-certificate-in-literature/,,,LIT266 Children’s and Adolescent Literature,Christian Heritage College,no,,Completion of the Undergraduate Certificate of English Literature will give students advanced standing in the Diploma of Liberal Arts or the Bachelor of Arts in the Liberal Arts.,LIT190 Creative Writing,,year,,,,,,,,,no,,,,,,,,,,,AUD,,,BA,,PE216 Learning About Teaching: Planning For Learning (7-12),Australia,,,,,,,,,LIT216 The Works of Shakespeare,Online,,,PE326 Teaching For Learning: Motivating And Managing Learner (7-12),Months,,,ES470 The Professional Teacher,,yes,"The Diploma of Social Science is designed to provide students with practical and theoretical knowledge and concepts with some depth relating to applied social sciences discipline areas. It emphasises theoretical understanding(s) of diverse groups of human beings, the issues they face in contemporary society, and an understanding of the knowledge, roles and skills required of those working in applied social sciences contexts. The course consists of the first two semesters of the Bachelor of Human Services and also of the Bachelor of Counselling. Consequently, students who successfully complete the Diploma of Social Science may articulate into the Bachelor of Human Services or the Bachelor of Counselling. Students who are enrolled in the Bachelor of Human Services or the Bachelor of Counselling may exit with the Diploma of Social Science, subject to the completion of course requirements. Students should note that certain units can be completed on campus only, in either Internal or Intensive modes (as offered). Course admission information, including the OP/selection rank and student profile for the Diploma of Social Science, can be found here.",,no,,year 12,,,,,,,,,Insert CR316 Curriculum and Pedagogy 1: Teaching Area 2,,,,7.5,yes,A,,,Insert CR315 Curriculum and Pedagogy 1: Teaching Area 1,68,,,PE336 Teaching For Learning: Curriculum And Planning (7-12),LIT233 Literature and Theology in C. S. Lewis,PE450 Internship: Teaching For Transformation,IELTS,,,,,,LIT101 Great Books of the Western World I,Computer Science & Information Technology,,yes,yes,,,,,,,,,,,,Insert CR416 Curriculum and Pedagogy 2: Teaching Area 2,"LIT220 Religion and the Literary Imagination, 1300-1700",,,
,ES480 Worldview And Sociology For Teachers,,,CR111 Introduction To Cross-Curricular Literacies,,,,,,,,PE446 Teaching For Transformation: Meeting Learner Needs (7-12),Insert CR415 Curriculum and Pedagogy 2: Teaching Area 1,,,Diploma of Business,,,,,,,,,,,CS216 Christian Foundations for Work and Vocation II,,,BZ106 Information Systems For Business,,,,,,English,1,https://chc.edu.au/courses/diploma-of-business/,,,BZ103 Introduction To Marketing,Christian Heritage College,yes,,"Accountant, Administration Manager, Banker, Bookkeeper, Business Analyst, Business Development Manager, Business Manager, Entrepreneur, Event Coordinator, Event Manager, Financial Project Manager, Government Officer, Insurance Officer, Manager, Marketer, Market Research Manager, Office Manager, Project Manager, Promotions Coordinator, Sales Coordinator, School Business Manager/Bursar, Small Business Owner, Workplace Health and Safety Officer.",BZ100 Introduction To Business and Management,,year,,,,,,,,,yes,,,,,,,,,,,AUD,,,DIP,,PE216 Learning About Teaching: Planning For Learning (7-12),Australia,,,,,,,,,BZ101 Business Communication,Carindale,,,PE326 Teaching For Learning: Motivating And Managing Learner (7-12),Year,,,ES470 The Professional Teacher,,yes,"The course normally consists of the first two semesters of the Bachelor of Business. It provides the basis for early entry into employment. The maximum time allowed for the completion of the Diploma of Business is 4 years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete the Diploma of Business may articulate into the Bachelor of Business. Students who are enrolled in the Bachelor of Business may exit with the Diploma of Business, subject to the completion of course requirements. Course admission information, including the OP/selection rank, and student profile for the Diploma of Business can be found here.",,no,,year 12,,,,,,,,,Insert CR316 Curriculum and Pedagogy 1: Teaching Area 2,,,,7.5,yes,A,,,Insert CR315 Curriculum and Pedagogy 1: Teaching Area 1,N/A,,,PE336 Teaching For Learning: Curriculum And Planning (7-12),BZ104 Economics,PE450 Internship: Teaching For Transformation,IELTS,,,,,,CS116 Christian Foundations for Work and Vocation I,Business & Commerce & Finance & Accounting,,yes,yes,,,,,,,,,,,,Insert CR416 Curriculum and Pedagogy 2: Teaching Area 2,BZ102 Accounting Principles,,,
,ES480 Worldview And Sociology For Teachers,,,CR111 Introduction To Cross-Curricular Literacies,,,,,,,,PE446 Teaching For Transformation: Meeting Learner Needs (7-12),Insert CR415 Curriculum and Pedagogy 2: Teaching Area 1,,,Diploma of Business,,,,,,,,,,,CS216 Christian Foundations for Work and Vocation II,,,BZ106 Information Systems For Business,,,,,,English,1,https://chc.edu.au/courses/diploma-of-business/,,,BZ103 Introduction To Marketing,Christian Heritage College,yes,,"Accountant, Administration Manager, Banker, Bookkeeper, Business Analyst, Business Development Manager, Business Manager, Entrepreneur, Event Coordinator, Event Manager, Financial Project Manager, Government Officer, Insurance Officer, Manager, Marketer, Market Research Manager, Office Manager, Project Manager, Promotions Coordinator, Sales Coordinator, School Business Manager/Bursar, Small Business Owner, Workplace Health and Safety Officer.",BZ100 Introduction To Business and Management,,year,,,,,,,,,yes,,,,,,,,,,,AUD,,,DIP,,PE216 Learning About Teaching: Planning For Learning (7-12),Australia,,,,,,,,,BZ101 Business Communication,Online,,,PE326 Teaching For Learning: Motivating And Managing Learner (7-12),Year,,,ES470 The Professional Teacher,,yes,"The course normally consists of the first two semesters of the Bachelor of Business. It provides the basis for early entry into employment. The maximum time allowed for the completion of the Diploma of Business is 4 years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete the Diploma of Business may articulate into the Bachelor of Business. Students who are enrolled in the Bachelor of Business may exit with the Diploma of Business, subject to the completion of course requirements. Course admission information, including the OP/selection rank, and student profile for the Diploma of Business can be found here.",,no,,year 12,,,,,,,,,Insert CR316 Curriculum and Pedagogy 1: Teaching Area 2,,,,7.5,yes,A,,,Insert CR315 Curriculum and Pedagogy 1: Teaching Area 1,N/A,,,PE336 Teaching For Learning: Curriculum And Planning (7-12),BZ104 Economics,PE450 Internship: Teaching For Transformation,IELTS,,,,,,CS116 Christian Foundations for Work and Vocation I,Business & Commerce & Finance & Accounting,,yes,yes,,,,,,,,,,,,Insert CR416 Curriculum and Pedagogy 2: Teaching Area 2,BZ102 Accounting Principles,,,
,ES480 Worldview And Sociology For Teachers,,,CR111 Introduction To Cross-Curricular Literacies,,,,,,,,PE446 Teaching For Transformation: Meeting Learner Needs (7-12),Insert CR415 Curriculum and Pedagogy 2: Teaching Area 1,,,Graduate Diploma in Ministry,,,,,,,,,,,JA402 Biblical Studies in the Old Testament,,,JC403 Leadership for Life and Ministry,,,,,,English,1,https://chc.edu.au/courses/graduate-diploma-in-ministry/,,,JC401 Introduction to Ministry Practice,Christian Heritage College,yes,,,JA403 Biblical Studies in the New Testament,,year,,,,,,,,,yes,,,,,,,,,,,AUD,,,PG,,PE216 Learning About Teaching: Planning For Learning (7-12),Australia,,,,,,,,,JB404 Spiritual Transformation,Carindale,,,PE326 Teaching For Learning: Motivating And Managing Learner (7-12),Year,,,ES470 The Professional Teacher,,yes,"Many Christians choose care-based professions that they consider to be their ministry in society. As an introductory postgraduate award in Ministry, the course offers the Christian professional a biblical, theological and ministry foundation to support their professional vocation, and provides grounding in the disciplines of Ministry that undergird their personal and professional development while complementing their existing tertiary qualification in their chosen profession. Further, the Graduate Diploma in Ministry offers students who are reassessing their profession an introduction to vocational knowledge and skills in a new professional area. The course provides opportunity for students to begin preparing for ministry in an evangelical/charismatic setting or leadership position. The course fulfils the study requirements for ordination of the International Network of Churches (INC). The maximum time allowed for the completion of the Graduate Diploma in Ministry is 5 years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete the Graduate Certificate in Ministry may articulate into the Graduate Diploma in Ministry. Students who are enrolled in the Graduate Diploma in Ministry may exit with the Graduate Certificate in Ministry, subject to the completion of course requirements. CHC regards the Bible as the final referent particularly as it applies to defining and shaping Christian Ministry. In the light of this distinctive orientation, the personal, theological, and ministry dimensions of the course are integrated under the authority of Scripture as the revelation of God developed within theological reflection arising from Scripture and applied in ministry and mission.",,no,,year 12,,,,,,,,,Insert CR316 Curriculum and Pedagogy 1: Teaching Area 2,,,,7.5,yes,A,,,Insert CR315 Curriculum and Pedagogy 1: Teaching Area 1,N/A,,,PE336 Teaching For Learning: Curriculum And Planning (7-12),JC402 Communication for Ministry,PE450 Internship: Teaching For Transformation,IELTS,,,,,,JA401 Biblical Interpretation and Application,Humanities and Social Science,,yes,yes,,,,,,,,,,,,Insert CR416 Curriculum and Pedagogy 2: Teaching Area 2,JB405 Theology of Ministry,,,
,ES480 Worldview And Sociology For Teachers,,,CR111 Introduction To Cross-Curricular Literacies,,,,,,,,PE446 Teaching For Transformation: Meeting Learner Needs (7-12),Insert CR415 Curriculum and Pedagogy 2: Teaching Area 1,,,Graduate Diploma in Ministry,,,,,,,,,,,JA402 Biblical Studies in the Old Testament,,,JC403 Leadership for Life and Ministry,,,,,,English,1,https://chc.edu.au/courses/graduate-diploma-in-ministry/,,,JC401 Introduction to Ministry Practice,Christian Heritage College,yes,,,JA403 Biblical Studies in the New Testament,,year,,,,,,,,,yes,,,,,,,,,,,AUD,,,PG,,PE216 Learning About Teaching: Planning For Learning (7-12),Australia,,,,,,,,,JB404 Spiritual Transformation,Online,,,PE326 Teaching For Learning: Motivating And Managing Learner (7-12),Year,,,ES470 The Professional Teacher,,yes,"Many Christians choose care-based professions that they consider to be their ministry in society. As an introductory postgraduate award in Ministry, the course offers the Christian professional a biblical, theological and ministry foundation to support their professional vocation, and provides grounding in the disciplines of Ministry that undergird their personal and professional development while complementing their existing tertiary qualification in their chosen profession. Further, the Graduate Diploma in Ministry offers students who are reassessing their profession an introduction to vocational knowledge and skills in a new professional area. The course provides opportunity for students to begin preparing for ministry in an evangelical/charismatic setting or leadership position. The course fulfils the study requirements for ordination of the International Network of Churches (INC). The maximum time allowed for the completion of the Graduate Diploma in Ministry is 5 years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete the Graduate Certificate in Ministry may articulate into the Graduate Diploma in Ministry. Students who are enrolled in the Graduate Diploma in Ministry may exit with the Graduate Certificate in Ministry, subject to the completion of course requirements. CHC regards the Bible as the final referent particularly as it applies to defining and shaping Christian Ministry. In the light of this distinctive orientation, the personal, theological, and ministry dimensions of the course are integrated under the authority of Scripture as the revelation of God developed within theological reflection arising from Scripture and applied in ministry and mission.",,no,,year 12,,,,,,,,,Insert CR316 Curriculum and Pedagogy 1: Teaching Area 2,,,,7.5,yes,A,,,Insert CR315 Curriculum and Pedagogy 1: Teaching Area 1,N/A,,,PE336 Teaching For Learning: Curriculum And Planning (7-12),JC402 Communication for Ministry,PE450 Internship: Teaching For Transformation,IELTS,,,,,,JA401 Biblical Interpretation and Application,Humanities and Social Science,,yes,yes,,,,,,,,,,,,Insert CR416 Curriculum and Pedagogy 2: Teaching Area 2,JB405 Theology of Ministry,,,
,ES480 Worldview And Sociology For Teachers,,,CR111 Introduction To Cross-Curricular Literacies,,,,,,,,PE446 Teaching For Transformation: Meeting Learner Needs (7-12),Insert CR415 Curriculum and Pedagogy 2: Teaching Area 1,,,Undergraduate Certificate of Human Services,,,,,,,,,,,SO112 Introduction to Human Behaviour,,,JC403 Leadership for Life and Ministry,,,,,,English,6,https://chc.edu.au/courses/undergraduate-certificate-of-human-services/,,,JC401 Introduction to Ministry Practice,Christian Heritage College,no,,Students already working in human services without tertiary qualifications will find this short course professionally enriching and may use it to advance their careers in areas of chaplaincy; community aid and development; community mental health; disability and aged care; family support and child protection; human behaviour; and youth work.,SO116 Introduction to Human Services,,year,,,,,,,,,no,,,,,,,,,,,AUD,,,BA,,PE216 Learning About Teaching: Planning For Learning (7-12),Australia,,,,,,,,,HB241 Social Psychology,Online,,,PE326 Teaching For Learning: Motivating And Managing Learner (7-12),Months,,,ES470 The Professional Teacher,,yes,"Many Christians choose care-based professions that they consider to be their ministry in society. As an introductory postgraduate award in Ministry, the course offers the Christian professional a biblical, theological and ministry foundation to support their professional vocation, and provides grounding in the disciplines of Ministry that undergird their personal and professional development while complementing their existing tertiary qualification in their chosen profession. Further, the Graduate Diploma in Ministry offers students who are reassessing their profession an introduction to vocational knowledge and skills in a new professional area. The course provides opportunity for students to begin preparing for ministry in an evangelical/charismatic setting or leadership position. The course fulfils the study requirements for ordination of the International Network of Churches (INC). The maximum time allowed for the completion of the Graduate Diploma in Ministry is 5 years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete the Graduate Certificate in Ministry may articulate into the Graduate Diploma in Ministry. Students who are enrolled in the Graduate Diploma in Ministry may exit with the Graduate Certificate in Ministry, subject to the completion of course requirements. CHC regards the Bible as the final referent particularly as it applies to defining and shaping Christian Ministry. In the light of this distinctive orientation, the personal, theological, and ministry dimensions of the course are integrated under the authority of Scripture as the revelation of God developed within theological reflection arising from Scripture and applied in ministry and mission.",,no,,year 12,,,,,,,,,Insert CR316 Curriculum and Pedagogy 1: Teaching Area 2,,,,7.5,yes,A,,,Insert CR315 Curriculum and Pedagogy 1: Teaching Area 1,N/A,,,PE336 Teaching For Learning: Curriculum And Planning (7-12),JC402 Communication for Ministry,PE450 Internship: Teaching For Transformation,IELTS,,,,,,SO102 Introduction to Applied Social Theories,Business & Commerce & Finance & Accounting,,yes,yes,,,,,,,,,,,,Insert CR416 Curriculum and Pedagogy 2: Teaching Area 2,JB405 Theology of Ministry,,,
,ED641 Cross-Curricular Literacies in Schools,,,ED657 Returning to Teaching,,,,,,,,ED651 Improving Learning Praxis,ED655 Delivering Higher Education Programs,,,Graduate Certificate in Christian Education,,,,,,,,,,,ED602 Philosophical Perspectives on Education,,,ED621 The Spiritual Development of Learners,,,,,,English,1,https://chc.edu.au/courses/graduate-certificate-in-christian-education/,,,ED615 Cultivating Sustainable Christian School Cultures,Christian Heritage College,no,,NEED INFO,ED600 Theological Reflections on Education,,year,,,,,,,,,no,,,,,,,,,,,AUD,,,PG,,ED644 Approaches to Assessment,Australia,,,,,,,,,ED611 Leadership and Change Management ,Online,,,ED645 Effective Pedagogical Practices within ICT,Year,,,ED622 Critical Engagements for Teaching Christianly,,yes,"The course is designed to provide professional development to qualified and experienced Christian teachers. It is aimed particularly at teachers who want to undertake studies which will assist them to develop Christian perspectives and professional education practices. It emphasises critical reflection upon the role and tasks of the Christian professional teacher, and the mission, philosophy and practices of Christian schooling, and becoming equipped to translate this reflection into practice. The maximum time allowed for the completion of the Graduate Certificate in Christian Education is four years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete the Graduate Certificate in Christian Education may articulate into the Master of Education. Students who are enrolled in the Master of Education may exit with the Graduate Certificate in Christian Education, subject to the completion of course requirements.",,no,,year 12,,,,,,,,,ED654 Issues in Learning,,,,7.5,yes,A,,,ED653 Mentoring Learner Teachers,N/A,,,ED646 Curriculum in Action,ED620 Enhancing the Spiritual Formation of Teachers,ED652 Personal Pedagogy as a Living Curriculum,IELTS,,,,,,ED601 Applying Worldview Studies to Christian Education,Humanities and Social Science,,yes,no,,,,,,,,,,,,ED656 Teacher Career Cycle and Professional Growth,ED614 Developing Leadership Capacity,,,
